tconst,title,region,language,primaryTitle,originalTitle,startYear,genres,directors,writers
tt14142640,Bannerghatta,IN,ml,Bannerghatta,Bannerghatta,2021.0,"Adventure,Crime,Drama",nm12360676,"nm7478007,nm7478008"
tt14143606,Idya Madyara,IN,kn,Idya Madyar Nagalikke,Idya Madyar Nagalikke,2009.0,Drama,nm9299282,"nm4408008,nm12361578"
tt14148330,Tamil Kiran Bedi,IN,ta,Kannadadda Kiran Bedi,Kannadadda Kiran Bedi,2009.0,Drama,nm5674731,"nm6820282,nm5674731,nm6684097"
tt14148330,Kerala Kiran Bedi,IN,ml,Kannadadda Kiran Bedi,Kannadadda Kiran Bedi,2009.0,Drama,nm5674731,"nm6820282,nm5674731,nm6684097"
tt14149024,Abhimani,IN,kn,Abhimaani,Abhimaani,2009.0,Drama,nm12363795,
tt14183118,Sabaash Chandra Bose,IN,ml,Sabaash Chandrabose,Sabaash Chandrabose,2022.0,Comedy,nm9659631,nm9659631
tt14183380,Vathil,IN,ml,Vaathil,Vaathil,2023.0,"Drama,Thriller",nm3939666,nm12378514
tt14223356,In the Jungle of our Village,IN,ta,Enga Ooru Kaattilae,Enga Ooru Kaattilae,2021.0,"Drama,Short",nm12395176,nm12395176
tt1427097,Ponnoonjal,IN,ta,Ponnunnjal,Ponnunnjal,1973.0,,nm0707393,nm4437962
tt1427128,Dikkatra Parvathi,IN,ta,Thikkarta Parvati,Thikkarta Parvati,1972.0,,nm0801870,
tt1427833,Ananda,IN,ta,Anand,Anand,1986.0,"Action,Drama,Romance",nm0801870,"nm0801870,nm1033297"
tt14283204,Right Adare,IN,kn,Right Adre,Right Adre,2007.0,Drama,nm10211341,nm12419273
tt14317332,Oru Paanchali Vasthralankaram,IN,ml,A Queen on Stake,Oru Panchali Vasthralankaram,2016.0,"Drama,Short",nm12426998,nm12427001
tt14333104,Thenali Rama,IN,kn,Tenali Rama,Tenali Rama,2006.0,Drama,nm3166648,"nm3166648,nm4335419"
tt14337938,Thananam Thananam,IN,kn,Tananam Tananam,Tananam Tananam,2006.0,Drama,nm0486896,"nm12441044,nm12648357,nm0486896"
tt14338258,Zindabad,IN,ta,Borrder,Borrder,2023.0,"Action,Thriller",nm3942648,nm3942648
tt1435461,Arivaali,IN,ta,Arivali,Arivali,1963.0,"Comedy,Drama",nm0471497,nm0471497
tt1435471,Bommai Kalyanam,IN,ta,Bommalapelli,Bommalapelli,1958.0,,nm0471500,"nm0040490,nm3482468"
tt14391998,Katinarike,IN,ml,Kaatinarike,Kaatinarike,2021.0,Drama,nm12462911,"nm12462914,nm12462911,nm12462913"
tt1440167,Engirundho Vandhaal,IN,ta,Engerindho Vandhaal,Engerindho Vandhaal,1970.0,,nm0858235,"nm0620786,nm2153379"
tt14423288,Iruvar Oppandham,IN,ta,Kontract,Kontract,2022.0,"Action,Drama",nm12475224,
tt1442481,"No. 73, Shanthi Nivasa",IN,kn,"#73, Shaanthi Nivaasa","#73, Shaanthi Nivaasa",2007.0,"Drama,Family,Musical","nm15590726,nm15590725,nm1679372","nm15590739,nm3367804"
tt14468904,Satyam Mathrame Bodhippikkoo,IN,ml,Sathyam Mathrame Bodhippikkoo,Sathyam Mathrame Bodhippikkoo,2022.0,"Comedy,Crime,Thriller",nm10911032,nm10911032
tt14481696,Kudukku,IN,ml,Kudukku 2025,Kudukku 2025,2022.0,Thriller,nm5558454,nm5558454
tt14488772,Seethayana,IN,kn,Seethayanam,Seethayanam,2022.0,"Drama,Thriller",nm12115224,nm12115224
tt14495388,Innale Vere,IN,ml,Innale Vare,Innale Vare,2022.0,"Drama,Thriller",nm7834624,"nm1547713,nm1332681"
tt14583662,Jwalamukhi,IN,ml,Shaari Alla Shaarada,Shaari Alla Shaarada,1982.0,Drama,nm0707363,nm0707363
tt14608298,Thayi Illada Thabbali,IN,kn,Taayi Illada Tabbali,Taayi Illada Tabbali,2003.0,Drama,nm1119536,"nm3367804,nm1119536,nm5708060"
tt14665830,Musukugala Madhye,IN,kn,Between the Veils,Between the Veils,2021.0,Short,nm12247671,nm12580524
tt14665830,Marakalkkidayil,IN,ml,Between the Veils,Between the Veils,2021.0,Short,nm12247671,nm12580524
tt14677450,Nanhendthi Maduve,IN,kn,Nanna Hendti Maduve,Nanna Hendti Maduve,2003.0,Drama,nm1274555,"nm1274555,nm13997853"
tt14691782,Olu Saar Baree Olu,IN,kn,Olu Sir Bari Olu,Olu Sir Bari Olu,2002.0,Drama,nm3166648,"nm14157636,nm3166648"
tt14691864,Prema Quaidi,IN,kn,Prema Quaidi,Prema Quaidi,2002.0,Drama,nm5455707,nm12481884
tt14728348,Angala Parameswari,IN,ta,Grama Devathe,Grama Devathe,2001.0,Drama,nm1119536,"nm1119536,nm7181731"
tt14780150,Devara Kanassu(The Dream of God),IN,kn,Devara Kanassu,Devara Kanassu,2023.0,Drama,nm14976214,"nm12633516,nm14976214,nm15011943"
tt1479670,Arasu,IN,ta,Arasu,Arasu,2003.0,Drama,nm2384535,nm2384535
tt14814580,Dalavayee,IN,kn,Dalawayi,Dalawayi,1999.0,Drama,nm5676626,"nm5703259,nm5676626,nm0890864"
tt14814672,Idu Entha Premavayya,IN,kn,Idhu Entha Premavayya,Idhu Entha Premavayya,1999.0,Drama,nm3116720,"nm13945407,nm0707494,nm3116720,nm1497573"
tt14826320,Nammoor Hugda,IN,kn,Nammura Huduga,Nammura Huduga,1998.0,Drama,nm12652790,"nm1142495,nm12652790"
tt14826606,Hendithghelthini,IN,kn,Hendthigeltheeni,Hendthigeltheeni,1998.0,Drama,nm0045068,
tt1483821,Aasal,IN,ta,Asal,Asal,2010.0,Action,nm1701267,
tt14878970,Lakshmi Kalyanam,IN,ta,Bhagya Lakshmi,Bhagya Lakshmi,2021.0,Drama,"nm4540894,nm17987648,nm9258476,nm15194579,nm16859137,nm12904171,nm10346924","nm3813965,nm11784292,nm1941818,nm15194522,nm0438471,nm13791956,nm15210057,nm16775126,nm17164779,nm16130948,nm15732521,nm17468540,nm15370168,nm17164780,nm17153023,nm17164787,nm17446856"
tt1496011,Thoongadha Kannendru Onru,IN,ta,Thungatha Kanniru Onru,Thungatha Kanniru Onru,1983.0,,nm1182564,nm1182564
tt1496872,S.M.S,IN,ta,Siva Manasula Sakthi,Siva Manasula Sakthi,2009.0,"Comedy,Drama,Romance",nm3578957,nm3578957
tt1501298,Katrathu Tamil,IN,ta,Kattradhu Thamizh,Kattradhu Thamizh,2007.0,"Drama,Mystery",nm3591496,nm3591496
tt1503130,Kungumapoovum Konjumpuravum,IN,ta,Kunguma Poovum Konjum Puravum,Kunguma Poovum Konjum Puravum,2009.0,Drama,nm3597166,"nm3585776,nm3597166"
tt1503144,Muthirai,IN,ta,Mutthirai,Mutthirai,2009.0,"Action,Thriller",nm3597462,nm3359796
tt1503167,Thamirabarani,IN,ta,Thaamirabarani,Bharani,2007.0,"Action,Drama",nm1419055,nm1419055
tt1503184,Vamanan,IN,ta,Vaamanan,Vaamanan,2009.0,Action,nm3597365,nm3597365
tt1505127,Suthanthiram,IN,ta,Sudhandhiram,Sudhandhiram,2000.0,"Action,Crime,Drama",nm1171296,"nm1193605,nm1195712"
tt15057258,Time Bomb,IN,ta,Hai Bangalore,Hai Bangalore,1997.0,Drama,nm5725773,"nm12439098,nm5703259"
